scenario,forecast_horizon_month,projected_retention_rate,projected_churn_rate,projected_mrr,projected_revenue_at_risk,baseline_retention_rate,baseline_churn_rate,baseline_projected_mrr,baseline_revenue_at_risk,active_accounts_at_baseline,baseline_total_mrr,scenario_note,governance_note
current_trajectory,1,0.9561,0.0439,2030753.38,30989.14,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,2,0.9509,0.0491,2077459.17,32149.66,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,3,0.9457,0.0543,2123855.98,33327.14,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,4,0.9405,0.0595,2169943.81,34521.57,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,5,0.9353,0.0647,2215722.67,35732.95,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
current_trajectory,6,0.9301,0.0699,2261192.55,36961.3,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,Baseline current trajectory with no operational adjustment.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,1,0.9578,0.0422,2034951.65,30615.43,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,2,0.9543,0.0457,2086048.83,31374.24,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,3,0.9509,0.0491,2137028.22,32121.41,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,4,0.9474,0.0526,2187887.92,32856.32,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,5,0.9439,0.0561,2238626.01,33578.34,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
improved_onboarding,6,0.9404,0.0596,2289240.57,34286.89,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,Improves onboarding for lower-onboarding accounts; expected to modestly improve retention and reduce revenue risk.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,1,0.9582,0.0418,2035651.36,30508.65,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,2,0.955,0.045,2087480.44,31152.69,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,3,0.9519,0.0481,2139223.59,31776.92,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,4,0.9488,0.0512,2190878.6,32380.53,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,5,0.9456,0.0544,2242443.23,32962.73,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
reduced_inactivity,6,0.9425,0.0575,2293915.23,33522.77,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,Reduces inactivity for accounts with login gaps; expected to improve medium-term retention resilience.,Scenario estimate is assumption-dependent and not causal proof.
higher_feature_adoption,1,0.9585,0.0415,2037050.79,30455.26,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Improves feature adoption for lower-adoption accounts; expected to strengthen product stickiness and revenue resilience.,Scenario estimate is assumption-dependent and not causal proof.
higher_feature_adoption,2,0.9557,0.0443,2090343.66,31041.92,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Improves feature adoption for lower-adoption accounts; expected to strengthen product stickiness and revenue resilience.,Scenario estimate is assumption-dependent and not causal proof.
higher_feature_adoption,3,0.9529,0.0471,2143614.34,31604.67,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Improves feature adoption for lower-adoption accounts; expected to strengthen product stickiness and revenue resilience.,Scenario estimate is assumption-dependent and not causal proof.
higher_feature_adoption,4,0.9501,0.0499,2196859.97,32142.63,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,Improves feature adoption for lower-adoption accounts; expected to strengthen product stickiness and revenue resilience.,Scenario estimate is assumption-dependent and not causal proof.
higher_feature_adoption,5,0.9474,0.0526,2250077.67,32654.93,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,Improves feature adoption for lower-adoption accounts; expected to strengthen product stickiness and revenue resilience.,Scenario estimate is assumption-dependent and not causal proof.
higher_feature_adoption,6,0.9446,0.0554,2303264.57,33140.71,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,Improves feature adoption for lower-adoption accounts; expected to strengthen product stickiness and revenue resilience.,Scenario estimate is assumption-dependent and not causal proof.
lower_support_burden,1,0.9568,0.0432,2032502.66,30802.28,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,Reduces support burden for higher-friction accounts; expected impact is smaller and more operationally indirect.,Scenario estimate is assumption-dependent and not causal proof.
lower_support_burden,2,0.9523,0.0477,2081038.19,31761.95,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,Reduces support burden for higher-friction accounts; expected impact is smaller and more operationally indirect.,Scenario estimate is assumption-dependent and not causal proof.
lower_support_burden,3,0.9478,0.0522,2129344.41,32724.28,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,Reduces support burden for higher-friction accounts; expected impact is smaller and more operationally indirect.,Scenario estimate is assumption-dependent and not causal proof.
lower_support_burden,4,0.9433,0.0567,2177420.52,33688.94,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,Reduces support burden for higher-friction accounts; expected impact is smaller and more operationally indirect.,Scenario estimate is assumption-dependent and not causal proof.
lower_support_burden,5,0.9387,0.0613,2225265.73,34655.64,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,Reduces support burden for higher-friction accounts; expected impact is smaller and more operationally indirect.,Scenario estimate is assumption-dependent and not causal proof.
lower_support_burden,6,0.9342,0.0658,2272879.22,35624.09,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,Reduces support burden for higher-friction accounts; expected impact is smaller and more operationally indirect.,Scenario estimate is assumption-dependent and not causal proof.
engagement_improvement,1,0.9595,0.0405,2040549.35,30241.71,0.9561,0.0439,2030753.38,30989.14,965,1842450.36,"Improves adoption, usage, login recency, and product health for lower-engagement accounts; expected to have the strongest directional effect.",Scenario estimate is assumption-dependent and not causal proof.
engagement_improvement,2,0.9578,0.0422,2097501.7,30598.82,0.9509,0.0491,2077459.17,32149.66,965,1842450.36,"Improves adoption, usage, login recency, and product health for lower-engagement accounts; expected to have the strongest directional effect.",Scenario estimate is assumption-dependent and not causal proof.
engagement_improvement,3,0.956,0.044,2154591.21,30915.68,0.9457,0.0543,2123855.98,33327.14,965,1842450.36,"Improves adoption, usage, login recency, and product health for lower-engagement accounts; expected to have the strongest directional effect.",Scenario estimate is assumption-dependent and not causal proof.
engagement_improvement,4,0.9543,0.0457,2211813.39,31191.06,0.9405,0.0595,2169943.81,34521.57,965,1842450.36,"Improves adoption, usage, login recency, and product health for lower-engagement accounts; expected to have the strongest directional effect.",Scenario estimate is assumption-dependent and not causal proof.
engagement_improvement,5,0.9525,0.0475,2269163.79,31423.73,0.9353,0.0647,2215722.67,35732.95,965,1842450.36,"Improves adoption, usage, login recency, and product health for lower-engagement accounts; expected to have the strongest directional effect.",Scenario estimate is assumption-dependent and not causal proof.
engagement_improvement,6,0.9508,0.0492,2326637.92,31612.47,0.9301,0.0699,2261192.55,36961.3,965,1842450.36,"Improves adoption, usage, login recency, and product health for lower-engagement accounts; expected to have the strongest directional effect.",Scenario estimate is assumption-dependent and not causal proof.
